Latitud,Longitud,Altitud,Limite
43.386264,-5.820304,163.1993382554501,30
43.386174,-5.820606,163.784192610532,30
43.385942,-5.820979,164.0474150041118,30
43.385682,-5.821245,163.9046409958974,30
43.385376,-5.821448,164.9122088178992,50
43.385152,-5.821513,165.0115176131949,50
43.38488,-5.821572,166.4234413160011,50
43.38463248616602,-5.821483144283495,167.1531824907288,0
43.384333,-5.821324,166.9522901056334,50
43.384096,-5.821103,167.3083207160234,50
43.383912,-5.820808,167.4893805589527,50
43.383771,-5.820446,167.0662357714027,50
43.383682,-5.820098,167.6946302223951,50
43.383685,-5.819663,167.1036640899256,50
43.383515,-5.819456,167.1376055413857,30
43.383178,-5.819359,167.1659710789099,30
43.382941,-5.819292,167.4039720017463,50
43.38256674342976,-5.819190544574958,168.1421691132709,0
43.382316,-5.819153,167.8361818837002,50
43.382038,-5.819072,169.767480163835,50
43.381739,-5.818988,174.1634650779888,50
43.381474,-5.819031,178.2745262859389,50
43.381254,-5.819191,180.8998061819002,50
43.380896,-5.819522,180.5348407542333,50
43.380748,-5.819838,180.8378264904022,50
43.380518,-5.819761,181.0849362174049,50
43.380449,-5.819366,182.3243056675419,50
43.380284,-5.81908,183.6753282286227,50
43.380073,-5.818807,185.8066204413772,50
43.379854,-5.818547,187.568976550363,50
43.379637233172744,-5.818374482424776,188.3598660854623,0
43.379347,-5.81795,189.9334574714303,50
43.379106,-5.817648,190.5447624428198,50
43.378801,-5.817839,190.9917759802192,50
43.378723,-5.818318,192.0496401265264,50
43.378684,-5.818629,192.6108680414036,50
43.378601,-5.818953,193.2289409982041,50
43.378559,-5.819262,193.5665274159983,50
43.378485,-5.819706,194.2872318997979,50
43.37842,-5.820051,194.8012808347121,50
43.378361,-5.820368,195.3514875406399,50
43.378435,-5.820788,196.5299166478217,50
43.3785,-5.821134,195.8713412042707,50
43.378337,-5.821382,196.0701148239896,50
43.378003,-5.821292,196.4503273312002,50
43.37772,-5.821404,196.7810318376869,50
43.377506381499146,-5.821493170771747,199.4852359043434,0
43.377213,-5.821704,202.2642611498013,50
43.376935,-5.821879,204.8174420548603,50
43.376605,-5.822076,207.2347946595401,50
43.376321,-5.822246,209.3345754193142,30
43.376144,-5.822593,209.6176141817123,30
43.375931,-5.822714,209.3814228586853,30
43.375666,-5.822838,207.8912817826495,30
43.375459974311056,-5.82307718237339,206.5098355449736,0
43.37522,-5.823436,204.3890836117789,30
43.375058,-5.823656,203.4406726900488,30
43.374812,-5.823962,201.7193941622972,30
43.374576,-5.824261,200.2681555757299,30
43.374323,-5.824484,198.6566532161087,30
43.374046,-5.824638,195.9348754044622,30
43.373738,-5.824704,192.3287433544174,30
43.373512,-5.824801,189.8955223215744,30
43.373248,-5.825041,189.1621631346643,30
43.373169,-5.825429,190.1754922568798,30
43.37318851818499,-5.8256531557400555,193.5572186363861,0
43.373213,-5.826183,194.7634818609804,30
43.373235,-5.826522,195.9844307433814,30
43.373254,-5.826908,197.5276054805145,30
43.373299,-5.827349,197.656341294758,30
43.373329,-5.827721,197.5817253151909,30
43.373371,-5.828091,197.5897853467613,30
43.373416,-5.828529,197.0806181784719,30
43.373505,-5.828951,196.3552618445829,30
43.373683,-5.829165,197.4897104064003,30
43.373673,-5.829474,198.2486729379743,50
43.373708,-5.82984,198.6924229077995,50
43.37383,-5.830239,199.5300898011774,50
43.373966,-5.83054,199.9183927252889,50
43.374259,-5.830544,200.4880934683606,50
43.374418,-5.830218,202.8396635046229,30
43.374509,-5.829926,204.438752877526,30
43.374698,-5.829718,205.0144874127582,30
43.374977,-5.829991,205.2248585550115,30
43.375205436163505,-5.830179383387032,204.3558369250968,0
43.375483,-5.830318,203.1533936709166,30
43.375574,-5.83064,202.2372013377026,30
43.375811,-5.830949,200.1670131422579,30
43.375762,-5.831318,197.4243416171521,30
43.375836,-5.831714,194.0268001630902,30
43.37603,-5.831943,191.564640388824,30
43.375932,-5.832318,191.1496726525947,30
43.375693,-5.832142,191.8962931875139,30
43.375447,-5.832115,194.6180672887713,30
43.37517,-5.832088,197.3994903685525,50
43.374902,-5.83192,200.0340875275433,50
43.374649,-5.831888,200.7142838640139,50
43.374512,-5.831606,199.8265958735719,50
43.374296,-5.831376,198.5924009410664,30
43.374072,-5.831206,197.6640308853239,30
43.373731,-5.831386,194.8707477869466,30
43.373505,-5.83143,193.1155343381688,50
43.373286,-5.831571,193.3205420728773,50
43.373025,-5.831681,193.1859009461477,50
43.372751,-5.831785,191.9783073095605,50
43.372456,-5.831932,191.5818977896124,30
43.372237,-5.832093,191.2335900804028,30
43.371926,-5.83225,190.0066037187353,30
43.371674,-5.832278,188.7828553766012,30
