start;end;start_speed;end_speed;Wh;Ah;L/h;L/km;NOx;CO;HC;PM;CO2;battery_degradation
(43.385701, -5.816532, 162.5213321847841);(43.385415, -5.817787, 164.5922713512555);0.4323999068037041;2.275918569907271;233.0592330614722;0.5826480826536805;0.0;0.0;0.0012624109096297396;0.004734040911111524;0.00041028354562966537;3.156027274074349e-05;0.0;1.585438320681476e-07
(43.385415, -5.817787, 164.5922713512555);(43.386076, -5.818682, 165.4891535425559);2.275918569907271;6.417500271393592;79.75183728536005;0.19937959321340012;0.0;0.0;0.00536408494525242;0.020115318544696573;0.0017433276072070362;0.0001341021236313105;0.0;5.425300578176954e-08
(43.386076, -5.818682, 165.4891535425559);(43.386282, -5.820018, 164.4091495163739);6.417500271393592;3.500754945002357;-4411.5981707770015;-11.028995426942505;0.0;0.0;-0.0009134132041491151;-0.003425299515559182;-0.0002968592913484624;-2.2835330103727875e-05;0.0;5.425300755760531e-08
(43.386282, -5.820018, 164.4091495163739);(43.385822, -5.821117, 164.0357599724084);3.500754945002357;7.684704521713083;208.52181479136115;0.5213045369784028;0.0;0.0;0.0007803170534346485;0.002926188950379932;0.0002536030423662608;1.9507926335866217e-05;0.0;1.4185173217441615e-07
(43.385822, -5.821117, 164.0357599724084);(43.38488, -5.821572, 166.4234413160011);7.684704521713083;7.830037916094645;67.47417411804199;0.16868543529510496;0.0;0.0;0.004548874967017368;0.017058281126315127;0.0014783843642806444;0.00011372187417543419;0.0;4.5900856207670895e-08
(43.38488, -5.821572, 166.4234413160011);(43.383988, -5.820939, 167.2644640188664);7.830037916094645;8.276893031108969;214.668942006429;0.5366723550160725;0.0;0.0;0.0008587338579552162;0.0032202519673320603;0.0002790885038354452;2.1468346448880403e-05;0.0;1.4603348927858897e-07
(43.383988, -5.820939, 167.2644640188664);(43.383685, -5.819663, 167.1036640899256);8.276893031108969;1.289792017331969;-6718.133966629797;-16.795334916574493;0.0;0.0;-0.0012170618269341299;-0.004563981851002986;-0.00039554509375359215;-3.0426545673353247e-05;0.0;1.4603350214471787e-07
(43.383685, -5.819663, 167.1036640899256);(43.382757, -5.819205, 168.0210391813889);1.289792017331969;3.331906836134579;294.3672729810082;0.7359181824525206;0.0;0.0;0.0006824505911182711;0.0025591897166935165;0.0002217964421134381;1.7061264777956777e-05;0.0;2.002501520659905e-07
(43.382757, -5.819205, 168.0210391813889);(43.381739, -5.818988, 174.1634650779888);3.331906836134579;8.155463465285296;171.74341004689535;0.4293585251172384;0.0;0.0;0.004380005842355603;0.01642502190883351;0.001423501898765571;0.00010950014605889007;0.0;1.1683245584497588e-07
(43.381739, -5.818988, 174.1634650779888);(43.380896, -5.819522, 180.5348407542333);8.155463465285296;5.522615991905968;110.38767865498862;0.27596919663747155;0.0;0.0;0.004339904718951968;0.016274642696069878;0.0014104690336593894;0.0001084976179737992;0.0;7.509379978249815e-08
