start;end;start_time;end_time;start_speed;end_speed;L/h;L/km;NOx;CO;HC;PM;CO2
(43.370464, -5.840361, 191.4583998527378);(43.370412, -5.840815, 192.3128602476791);1341.001482009888;1348.005084037781;2.582635088831057;7.283788474182137;10.689971388222371;0.5583441285663563;0.011811758509208672;0.04429409440953252;0.0038388215154928186;0.00029529396273021675;210.46719867071334
(43.370412, -5.840815, 192.3128602476791);(43.370326, -5.841228, 193.4012771965936);1348.005084037781;1352.000047087669;7.283788474182137;7.702448948628319;9.140813380073979;0.2913979492369373;0.010100034537242238;0.03787512951465839;0.0032825112246037272;0.00025250086343105594;192.56513173684937
(43.370326, -5.841228, 193.4012771965936);(43.370216, -5.841603, 194.8216352015734);1352.000047087669;1356.001696109772;7.702448948628319;5.975061127002159;1.6726480553911391;0.056756556882856427;0.0018481728513272467;0.006930648192477174;0.0006006561766813552;4.620432128318117e-05;37.44389109167676
(43.370216, -5.841603, 194.8216352015734);(43.370135, -5.841974, 193.4645069055259);1356.001696109772;1378.000246047974;5.975061127002159;0.5607701966517096;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.370135, -5.841974, 193.4645069055259);(43.370031, -5.842258, 194.9109627865255);1378.000246047974;1384.004113078117;0.5607701966517096;6.461152094595546;14.07225155386743;0.9112217044506157;0.015548969309520185;0.05830863491070069;0.00505341502559406;0.0003887242327380046;400.67931012995757
(43.370031, -5.842258, 194.9109627865255);(43.369912, -5.842561, 196.7718031192198);1384.004113078117;1388.001605033875;6.461152094595546;8.021080808869502;16.14239143605239;0.6426765072542773;0.017836346092922086;0.06688629784845783;0.005796812480199678;0.00044590865232305214;424.43261873420096
(43.369912, -5.842561, 196.7718031192198);(43.369719, -5.842929, 198.6282907947898);1388.001605033875;1392.003716111183;8.021080808869502;8.361812852300105;12.779817198009116;0.3867607157422651;0.014120909126195258;0.05295340922323222;0.004589295466013459;0.00035302272815488137;255.12742396105352
(43.369719, -5.842929, 198.6282907947898);(43.369572, -5.843169, 199.3674907907844);1392.003716111183;1395.004127025604;8.361812852300105;7.454075780839084;1.6121937350194362;0.05290284028868498;0.0017813745590646859;0.006680154596492572;0.000578946731696023;4.453436397661715e-05;46.54812368894342
(43.369572, -5.843169, 199.3674907907844);(43.369358, -5.843453, 199.3086463715881);1395.004127025604;1399.001372098923;7.454075780839084;7.024366435616819;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.369358, -5.843453, 199.3086463715881);(43.369138, -5.843684, 198.7424810566008);1399.001372098923;1404.005110025406;7.024366435616819;4.251961327584018;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.369138, -5.843684, 198.7424810566008);(43.368952, -5.843863, 200.5381246488541);1404.005110025406;1413.004773020744;4.251961327584018;0.1760647205967552;1.9259278991616309;0.19068629340068222;0.002128031444135383;0.007980117915507684;0.0006916102193439993;5.320078610338456e-05;55.936740613351745
(43.368952, -5.843863, 200.5381246488541);(43.368709, -5.844085, 200.6037318166345);1413.004773020744;1437.002952098846;0.1760647205967552;0.3530845096740524;0.3407671920628249;0.07001616550898926;0.0003765267122175658;0.0014119751708158716;0.00012237118147070887;9.413167805439145e-06;7.702362597685543
(43.368709, -5.844085, 200.6037318166345);(43.368452, -5.844301, 199.7338861636817);1437.002952098846;1465.001262068748;0.3530845096740524;6.054032421042227;0.11854053010657212;0.02752622364250257;0.00013097996845108897;0.0004911748816915836;4.256848974660392e-05;3.274499211277224e-06;2.595486316650028
(43.368452, -5.844301, 199.7338861636817);(43.368196, -5.84457, 200.6601441260427);1465.001262068748;1469.001029014587;6.054032421042227;8.359105854993192;16.920637060478278;0.5245855005764472;0.018696259468059327;0.07011097300522248;0.006076284327119282;0.0004674064867014832;346.24660393340605
(43.368196, -5.84457, 200.6601441260427);(43.367931, -5.844845, 201.2451272085309);1469.001029014587;1473.002620100975;8.359105854993192;8.774618228951573;6.931156851555906;0.20863597047866012;0.007658500471780911;0.028719376769178413;0.0024890126533287957;0.00019146251179452274;137.6449892487201
(43.367931, -5.844845, 201.2451272085309);(43.367666, -5.845072, 201.6842633336782);1473.002620100975;1477.000798106194;8.774618228951573;7.706781593975796;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.367666, -5.845072, 201.6842633336782);(43.367469, -5.845255, 201.1927936282009);1477.000798106194;1480.000544071198;7.706781593975796;6.65856017013487;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.367469, -5.845255, 201.1927936282009);(43.367268, -5.845456, 201.2720259251073);1480.000544071198;1484.000860095024;6.65856017013487;4.947289745931098;0.0;0.0;0.0;0.0;0.0;0.0;0.0
